sample interval	     V5	     V2
(0.0027777 sec)	   (mV)	   (mV)
              0	 -0.200	  0.005
              1	 -0.200	  0.005
              2	 -0.200	  0.005
              3	 -0.200	  0.005
              4	 -0.200	  0.005
              5	 -0.200	  0.005
              6	 -0.200	  0.005
              7	 -0.200	  0.005
              8	 -0.190	  0.005
              9	 -0.175	  0.005
             10	 -0.190	  0.005
             11	 -0.205	 -0.005
             12	 -0.210	 -0.005
             13	 -0.200	  0.010
             14	 -0.195	 -0.010
             15	 -0.210	 -0.010
             16	 -0.230	 -0.020
             17	 -0.235	 -0.035
             18	 -0.245	 -0.025
             19	 -0.235	 -0.010
             20	 -0.230	 -0.030
             21	 -0.230	 -0.040
             22	 -0.245	 -0.050
             23	 -0.270	 -0.060
             24	 -0.260	 -0.045
             25	 -0.240	 -0.035
             26	 -0.225	 -0.055
             27	 -0.220	 -0.065
             28	 -0.225	 -0.075
             29	 -0.225	 -0.095
             30	 -0.225	 -0.085
             31	 -0.225	 -0.075
             32	 -0.220	 -0.085
             33	 -0.235	 -0.090
             34	 -0.260	 -0.100
             35	 -0.260	 -0.120
             36	 -0.260	 -0.105
             37	 -0.260	 -0.100
             38	 -0.255	 -0.105
             39	 -0.255	 -0.125
             40	 -0.260	 -0.135
             41	 -0.260	 -0.145
             42	 -0.265	 -0.130
             43	 -0.250	 -0.110
             44	 -0.240	 -0.130
             45	 -0.255	 -0.140
             46	 -0.265	 -0.150
             47	 -0.280	 -0.150
             48	 -0.260	 -0.155
             49	 -0.255	 -0.140
             50	 -0.250	 -0.150
             51	 -0.245	 -0.150
             52	 -0.250	 -0.175
             53	 -0.255	 -0.170
             54	 -0.245	 -0.155
             55	 -0.240	 -0.155
             56	 -0.250	 -0.155
             57	 -0.245	 -0.170
             58	 -0.265	 -0.180
             59	 -0.270	 -0.175
             60	 -0.250	 -0.165
             61	 -0.250	 -0.150
             62	 -0.245	 -0.160
             63	 -0.250	 -0.160
             64	 -0.255	 -0.150
             65	 -0.255	 -0.150
             66	 -0.240	 -0.140
             67	 -0.245	 -0.125
             68	 -0.265	 -0.125
             69	 -0.260	 -0.130
             70	 -0.270	 -0.125
             71	 -0.280	 -0.135
             72	 -0.280	 -0.125
             73	 -0.265	 -0.115
             74	 -0.265	 -0.125
             75	 -0.260	 -0.135
             76	 -0.265	 -0.135
             77	 -0.255	 -0.140
             78	 -0.245	 -0.135
             79	 -0.230	 -0.130
             80	 -0.230	 -0.145
             81	 -0.235	 -0.155
             82	 -0.230	 -0.165
             83	 -0.235	 -0.185
             84	 -0.215	 -0.195
             85	 -0.190	 -0.180
             86	 -0.175	 -0.190
             87	 -0.175	 -0.200
             88	 -0.195	 -0.210
             89	 -0.225	 -0.220
             90	 -0.225	 -0.205
             91	 -0.225	 -0.215
             92	 -0.230	 -0.225
             93	 -0.215	 -0.235
             94	 -0.225	 -0.255
             95	 -0.225	 -0.250
             96	 -0.205	 -0.245
             97	 -0.165	 -0.225
             98	 -0.135	 -0.230
             99	 -0.135	 -0.220
            100	 -0.145	 -0.220
            101	 -0.165	 -0.230
            102	 -0.170	 -0.210
            103	 -0.170	 -0.205
            104	 -0.185	 -0.215
            105	 -0.205	 -0.195
            106	 -0.225	 -0.160
            107	 -0.230	 -0.080
            108	 -0.195	  0.145
            109	 -0.155	  0.530
            110	 -0.120	  0.805
            111	 -0.070	  0.735
            112	 -0.005	  0.485
            113	  0.215	  0.285
            114	  0.575	  0.240
            115	  0.845	  0.220
            116	  0.800	  0.155
            117	  0.525	  0.100
            118	  0.275	  0.035
            119	  0.180	 -0.065
            120	  0.195	 -0.155
            121	  0.230	 -0.270
            122	  0.255	 -0.415
            123	  0.280	 -0.595
            124	  0.285	 -0.765
            125	  0.300	 -0.945
            126	  0.320	 -1.060
            127	  0.340	 -1.155
            128	  0.355	 -1.240
            129	  0.345	 -1.345
            130	  0.330	 -1.455
            131	  0.320	 -1.605
            132	  0.340	 -1.755
            133	  0.380	 -1.930
            134	  0.400	 -2.100
            135	  0.410	 -2.235
            136	  0.395	 -2.360
            137	  0.365	 -2.490
            138	  0.335	 -2.595
            139	  0.310	 -2.700
            140	  0.260	 -2.790
            141	  0.195	 -2.860
            142	  0.125	 -2.930
            143	  0.050	 -3.005
            144	 -0.035	 -3.045
            145	 -0.130	 -3.065
            146	 -0.250	 -3.095
            147	 -0.355	 -3.130
            148	 -0.420	 -3.155
            149	 -0.435	 -3.155
            150	 -0.395	 -3.145
            151	 -0.380	 -3.095
            152	 -0.390	 -3.030
            153	 -0.405	 -2.955
            154	 -0.440	 -2.825
            155	 -0.465	 -2.690
            156	 -0.470	 -2.525
            157	 -0.460	 -2.345
            158	 -0.435	 -2.150
            159	 -0.420	 -1.940
            160	 -0.405	 -1.710
            161	 -0.380	 -1.475
            162	 -0.340	 -1.240
            163	 -0.310	 -0.995
            164	 -0.295	 -0.800
            165	 -0.305	 -0.610
            166	 -0.310	 -0.445
            167	 -0.320	 -0.280
            168	 -0.320	 -0.085
            169	 -0.310	  0.065
            170	 -0.310	  0.220
            171	 -0.305	  0.350
            172	 -0.290	  0.460
            173	 -0.290	  0.555
            174	 -0.265	  0.635
            175	 -0.260	  0.690
